burst_num,slope,intercept,r_value,p_value,std_err,min_time,max_time
909,-0.059772478157926474,573.2940861392856,-0.0577926028982999,0.19790957995130445,0.046361949162207566,-24.768,24.576
914,0.3076128603507078,500.3016965391854,0.305357213207418,1.9923516505744335e-10,0.04714564545309551,-20.736,27.136
927,-0.040349119823954414,780.0581185642471,-0.14285284994693387,3.907563225050788e-09,0.006816399112125108,-86.208,112.0
929,0.12473832156578626,492.8688421108089,0.12404638658752952,0.005476970630642926,0.044712996723827066,-24.128,24.832
936,-0.03975609610319931,577.7695910965814,-0.038279013208362474,0.3930409992309688,0.046506098949054886,-24.064,25.408
938,0.05026735361198676,519.5132868750787,0.2295075646182039,1.4757467394236754e-24,0.004847419154100027,-94.336,125.184
942,0.11678775389329986,511.7072325997635,0.0945935252047663,0.09533754237369563,0.06980769271020697,-17.28,20.352
946,0.0009564302061642902,517.174551005616,0.00595044102366386,0.7659070444307028,0.0032120276665523217,-119.04,193.536
973,-0.10887841032129136,499.78703841619847,-0.7529524150550431,0.0,0.001535021343293126,-199.104,321.152
974,-0.02323438593144899,576.0611330062965,-0.02450063708212331,0.5846798567590603,0.04248237239705092,-26.112000000000002,27.264
999,0.11870970169729207,517.9263220082083,0.12659509875003222,0.009746916635557656,0.04571522823301843,-20.16,27.456
1025,-2.1004666400427654,768.7438518266243,-0.8739171264530085,3.886708828435638e-158,0.05235209983898213,-23.936,26.944
1036,-0.03715577203248078,854.6379529035577,-0.0944178626198632,7.142864267588058e-07,0.007477500667584926,184.64000000000001,360.384
1039,-0.02264726444897679,547.6120815520167,-0.13898755730067894,6.2960886177375345e-12,0.003278815377825009,-118.784,178.24
1042,0.13977865156708097,525.120081380204,0.4657698365310194,4.887885700122322e-85,0.006719331452612049,-96.70400000000001,81.024
1046,-0.0390449879758471,480.30296234555874,-0.14301655449742973,5.4159330480938574e-14,0.005163863302012154,185.536,360.832
1051,0.11136113320422505,524.4125746004393,0.10937193856947078,0.014608942307709406,0.04544369840723869,-24.448,24.384
1073,0.06714042434316818,723.417875,0.05601779020869332,0.21113783655285,0.053624216497414244,-25.344,25.344
1076,0.41424123559388265,607.8422385609219,0.3227421478025157,1.3872609549999166e-13,0.05443742735848842,-24.0,24.128
1085,-0.05257246848093395,605.2040512849693,-0.1429257086677224,6.644520332689834e-07,0.01051811321156803,-56.064,78.592
1086,-0.00305707499337385,558.246136560417,-0.01078491927409541,0.6855412139905986,0.0075483908354882865,-74.688,93.184
1087,0.06016425105335853,528.5617118670887,0.2229669337000929,7.301474513518207e-21,0.00633882245196899,-108.672,88.64
1088,-0.10278958641090186,1078.1002892667652,-0.06823247862152405,0.12758815559184336,0.06734881715049247,-24.128,24.192
1096,0.09512764506159259,494.18761774607407,0.1002040738842385,0.025047767935747853,0.042326789799191356,-24.64,24.832
1097,0.09554890922990873,750.9122894792371,0.08498675851571502,0.05755892548458607,0.05019791808739434,-24.576,25.088
1102,0.14181849369647734,549.6728368082017,0.12898716484583067,0.003863466525426031,0.04885718937607268,-24.128,24.192
1112,-0.10559581303760893,662.1442703300861,-0.09528205789552689,0.03316440794600139,0.04943567710177078,-24.064,24.384
1114,0.07155575284751939,521.6978419961971,0.05437998998549334,0.34790959671955635,0.07611218759613597,-15.040000000000001,19.584
